url,name,sku,selling_price,original_price,currency,availability,color,category,source,source_website,breadcrumbs,description,brand,images,country,language,average_rating,reviews_count,crawled_at
https://www.adidas.com/us/five-ten-kestrel-lace-mountain-bike-shoes/BC0770.html,Five Ten Kestrel Lace Mountain Bike Shoes,BC0770,150,,USD,InStock,Grey,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,Lace up and get after it. The Five Ten Kestrel Lace Mountain Bike Shoes offer efficient pedal power with low-profile style. The wide platform is compatible with all clipless pedals and offers high-friction grip on and off the bike. You'll find the find comfort and versatility for extended trail rides and afterwork hot laps alike.,adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/2b04943c525e4909a7a5a9fa0116153d_9366/Five_Ten_Kestrel_Lace_Mountain_Bike_Shoes_Grey_BC0770_01_standard.jpg",USA,en,4.8,4,50:17.4
https://www.adidas.com/us/mexico-away-jersey/GC7946.html,Mexico Away Jersey,GC7946,70,,USD,InStock,White,Sport,adidas United States,https://www.adidas.com,Kids/Clothing,"Clean and crisp, this adidas Mexico Away Jersey for juniors displays a design that began life in an artist's studio. Soft, quick-drying fabric keeps you comfortable. Standing out on the chest, a team badge lets fans show pride in their soccer team.",adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/4b12d5462aec410faee9ab1000feb34f_9366/Mexico_Away_Jersey_White_GC7946_01_laydown.jpg",USA,en,4.9,42,50:17.5
https://www.adidas.com/us/five-ten-hiangle-pro-competition-climbing-shoes/FV4744.html,Five Ten Hiangle Pro Competition Climbing Shoes,FV4744,160,,USD,InStock,Black,Sport,adidas United States,https://www.adidas.com,Five Ten/Shoes,"The Hiangle Pro takes on the classic shape of the original Hiangle with the addition of a seamless outsole wrapping around the toes, allowing for maximum rubber contact when tackling the most challenging boulder problems.",adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/a50bf634157248c99dbcac02007a8d9f_9366/Five_Ten_Hiangle_Pro_Competition_Climbing_Shoes_Black_FV4744_01_standard.jpg",USA,en,3.7,7,50:17.6
https://www.adidas.com/us/eqt-spikeless-golf-shoes/FX7449.html,EQT Spikeless Golf Shoes,FX7449,110,,USD,InStock,Grey,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"Put comfort first. These adidas spikeless golf shoes combine a Bounce midsole and a Boost heel for a lightweight, responsive feel that helps you convert bogie's to birdies. They repel water to keep your feet dry through wet fairways. The versatile rubber outsole ensures easy transitions from your final putt to cold drinks at the clubhouse. Recycled materials are one step towards reducing plastic waste.",adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/868765405ea54c68abc4ac5c011bc36e_9366/EQT_Spikeless_Golf_Shoes_Grey_FX7449_01_standard.jpg",USA,en,4.9,30,50:17.8
https://www.adidas.com/us/tiro-21-windbreaker/GP4975.html,Tiro 21 Windbreaker,GP4975,60,,USD,InStock,Black,Outerwear,adidas United States,https://www.adidas.com,Kids/Clothing,"You can't always be a force of nature in soccer training. So when the intensity drops and the winds pick up, this juniors' adidas Tiro 21 Windbreaker has you covered. Moisture-absorbing AEROREADY and a mesh lining keep you dry. The streamlined silhouette ensures nothing gets in the way of your ball skills on the touchline.

This product is made with recycled content as part of our ambition to end plastic waste.",adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/304055d5fec84445b597ac4500f9c26b_9366/Tiro_21_Windbreaker_Black_GP4975_01_laydown.jpg",USA,en,4.5,16,50:17.9
https://www.adidas.com/us/classic-3-stripes-swimsuit/FS3923.html,Classic 3-Stripes Swimsuit,FS3923,40,,USD,InStock,Black,Swim,adidas United States,https://www.adidas.com,Women/Clothing,"You can show your concern for the health of the oceans while you increase your fitness in the pool. This adidas swimsuit is designed for comfort and support. Soft and fully lined, it's made with yarn spun from recycled materials. Iconic 3-Stripes tape on the sides gives it a sporty and classic look.",adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/f8b3261ac689442f8ecfabd601157e2e_9366/Classic_3-Stripes_Swimsuit_Black_FS3923_21_model.jpg",USA,en,4.5,35,50:18.1
https://www.adidas.com/us/formotion-sculpt-biker-short-tights/GL1127.html,Formotion Sculpt Biker Short Tights,GL1127,60,,USD,InStock,Black,Bottoms,adidas United States,https://www.adidas.com,Women/Clothing,"Sometimes confidence comes in a surprising form. These adidas short tights have a unique sculpted shape to hold you in and targeted compression zones that support your muscles as you bend and stretch. If a compression look is not your thing, order a size up. An adaptive FORMOTION design follows your natural movement for a better fit and greater comfort in motion. A high-rise waist helps you focus, even before class begins.",adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/99a118e2f9cb482db9d9ac5d0022dde3_9366/Formotion_Sculpt_Biker_Short_Tights_Black_GL1127_21_model.jpg",USA,en,4.4,26,50:18.7
https://www.adidas.com/us/athletic-cushioned-crew-socks-6-pairs/B93219.html,Athletic Cushioned Crew Socks 6 Pairs,B93219,20,,USD,InStock,White,Undergarments,adidas United States,https://www.adidas.com,Men/Accessories,"Stop searching for the lost match to your favorite socks. With six pairs of matching socks, you'll always have a set. These adidas crew socks support your feet with foot-hugging arch support. The stretch blend pulls moisture away from the skin to keep feet feeling dry.",adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/c1d1f661da8e4e4f8ee9ab56011d3cd9_9366/Athletic_Cushioned_Crew_Socks_6_Pairs_White_B93219_03_standard.jpg",USA,en,4,5,50:19.3
https://www.adidas.com/us/inter-miami-cf-home-authentic-jersey/EH8629.html,Inter Miami CF Home Authentic Jersey,EH8629,70,,USD,InStock,White,Sport,adidas United States,https://www.adidas.com,Kids/Clothing,"The future's a blank canvas. When Inter Miami CF step out in front of the home crowd, they'll wear a white uniform that shines under the Florida sun. This adidas soccer jersey is a juniors' version of their official home shirt. It keeps you dry on the training ground, though it's clean enough to wear on the street. The lightweight fabric displays embossed herons and sunset-pink details.",adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/140279c8bd41415d9e3eab1e0119f2d0_9366/Inter_Miami_CF_Home_Authentic_Jersey_White_EH8629_01_laydown.jpg",USA,en,5,2,50:19.4
https://www.adidas.com/us/cushioned-mid-crew-socks-2-pairs/CJ5831.html,Cushioned Mid-Crew Socks 2 Pairs,CJ5831,14,,USD,InStock,Black,Undergarments,adidas United States,https://www.adidas.com,Men/Accessories,"To get serious about training, start from the ground up. Give your feet the cushioned support and moisture-absorbing comfort of these adidas mid-cut crew socks. They have a Traxion footbed for a secure, no-slip fit as you train.",adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/640a41d0b1354095a2c9aa3b010fa093_9366/Cushioned_Mid-Crew_Socks_2_Pairs_Black_CJ5831_03_standard.jpg",USA,en,4.8,21,50:19.5
